codigo_licitacao,cnpj_empresa,e_vencedora,valor_proposta
LIC-2024-0058,34.874.016/0001-45,False,201482.58
LIC-2024-0059,36.629.946/0001-69,False,3936656.62
LIC-2024-0059,87.347.143/0001-52,False,3875580.4
LIC-2024-0059,31.586.923/0001-09,False,3768592.06
LIC-2024-0059,54.278.498/0001-88,True,3329330.83
LIC-2024-0059,45.868.501/0001-22,False,3678128.94
LIC-2024-0060,46.688.937/0001-00,False,1511.94
LIC-2024-0060,02.563.421/0001-56,True,1342.99
LIC-2024-0060,59.826.204/0001-29,False,1513.76
LIC-2024-0060,69.957.773/0001-67,False,1511.47
