item_id,documento_originalmente_rotulado,rank_TF-IDF,rank_OpenAI,rank_Híbrido RRF
Q09-489228,0,35,9,4
Q09-489692,0,6,241,12
Q09-492788,0,4,1739,27
Q10-468560,0,5,50,18
Q10-481521,0,11,9,10
Q10-481522,0,15,2,6
Q10-481523,0,21,5,13
Q10-481544,0,4,22,12
Q10-481545,0,30,1,14
Q10-481561,0,14,4,7
Q10-484476,0,2,10,1
Q10-484481,0,3,11,2
Q10-488300,0,7,8,4
Q10-488301,0,1,21,9
Q10-488302,0,9,6,3
Q10-488303,0,12,7,8
Q10-488304,0,13,3,5
Q10-490197,0,8,168,29
Q10-491564,0,10,737,38
Q10-494780,0,6,15,11
