,codigoClasse,codigoGrupo,nomeGrupo,nomeClasse,statusClasse,dataHoraAtualizacao,dataCarga
12,1080,10,ARMAMENTO,EQUIPAMENTOS DE CAMUFLAGEM E DE DISSIMULAÇÃO,True,2021-10-16 09:17:13.045775,2026-08-08
13,1090,10,ARMAMENTO,CONJUNTOS INTERCAMBIÁVEIS DE DUAS OU MAIS CLASSES,True,2021-10-16 09:17:13.045775,2026-08-08
14,1095,10,ARMAMENTO,ARMAMENTOS DIVERSOS,True,2021-10-16 09:17:13.045775,2026-08-08
15,1105,11,MATERIAIS BÉLICOS NUCLEARES,BOMBAS NUCLEARES,True,2021-10-16 09:17:13.045775,2026-08-08
16,1110,11,MATERIAIS BÉLICOS NUCLEARES,PROJÉTEIS NUCLEARES,True,2021-10-16 09:17:13.045775,2026-08-08
17,1115,11,MATERIAIS BÉLICOS NUCLEARES,OGIVAS NUCLEARES E SEÇÕES DE OGIVAS NUCLEARES,True,2021-10-16 09:17:13.045775,2026-08-08
18,1120,11,MATERIAIS BÉLICOS NUCLEARES,BOMBAS NUCLEARES DE PROFUNDIDADE,True,2021-10-16 09:17:13.045775,2026-08-08
19,1125,11,MATERIAIS BÉLICOS NUCLEARES,CARGAS NUCLEARES DE DEMOLIÇÃO,True,2021-10-16 09:17:13.045775,2026-08-08
20,1127,11,MATERIAIS BÉLICOS NUCLEARES,FOGUETES NUCLEARES,True,2021-10-16 09:17:13.045775,2026-08-08
21,1130,11,MATERIAIS BÉLICOS NUCLEARES,CONJUNTOS DE CONVERSÃO PARA ARMAMENTO NUCLEAR,True,2021-10-16 09:17:13.045775,2026-08-08
22,1135,11,MATERIAIS BÉLICOS NUCLEARES,DISPOSITIVOS DE DETONAÇÃO E DISPARO DE ARMAMENTO,True,2021-10-16 09:17:13.045775,2026-08-08
23,1140,11,MATERIAIS BÉLICOS NUCLEARES,COMPONENTES NUCLEARES,True,2021-10-16 09:17:13.045775,2026-08-08
24,1145,11,MATERIAIS BÉLICOS NUCLEARES,COMPONENTES EXPLOSIVOS E PIROTÉCNICOS DE ARMAMENTO NUCLEAR,True,2021-10-16 09:17:13.045775,2026-08-08
25,1190,11,MATERIAIS BÉLICOS NUCLEARES,EQUIPAMENTO ESPECIALIZADO DE MANUSEIO E ENSAIO DE  ARMAMENTONUCLEAR,True,2021-10-16 09:17:13.045775,2026-08-08
26,1195,11,MATERIAIS BÉLICOS NUCLEARES,MATERIAL BÉLICO NUCLEAR DIVERSOS,True,2021-10-16 09:17:13.045775,2026-08-08
27,1210,12,EQUIPAMENTOS DE TIRO,DIRETORAS DE CONTROLE DE TIRO,True,2021-10-16 09:17:13.045775,2026-08-08
28,1220,12,EQUIPAMENTOS DE TIRO,DISPOSITIVOS E CORRETORES DE CONTROLE DE TIRO,True,2021-10-16 09:17:13.045775,2026-08-08
29,1230,12,EQUIPAMENTOS DE TIRO,SISTEMAS COMPLETOS DE CONTROLE DE TIRO,True,2021-10-16 09:17:13.045775,2026-08-08
30,1240,12,EQUIPAMENTOS DE TIRO,EQUIPAMENTOS ÓTICOS DE VISADA E MEDIÇÃO DE DISTÂNCIA,True,2021-10-16 09:17:13.045775,2026-08-08
31,1250,12,EQUIPAMENTOS DE TIRO,MECANISMOS DE ESTABILIZAÇÃO E CONTROLE DE TIRO,True,2021-10-16 09:17:13.045775,2026-08-08
32,1260,12,EQUIPAMENTOS DE TIRO,EQUIPAMENTO DE DESIGNAÇÃO E INDICAÇÃO DE CONTROLE DE TIRO,True,2021-10-16 09:17:13.045775,2026-08-08
33,1265,12,EQUIPAMENTOS DE TIRO,EQUIPAMENTO DE RECEPÇÃO E TRANSMISSÃO DE  CONTROLE  DE  TIRO(EXCETO DE AERONAVE),True,2021-10-16 09:17:13.045775,2026-08-08
34,1270,12,EQUIPAMENTOS DE TIRO,COMPONENTES DE CONTROLE DE TIRO DE AERONAVES,True,2021-10-16 09:17:13.045775,2026-08-08
35,1280,12,EQUIPAMENTOS DE TIRO,COMPONENTES DE CONTROLE DE TIRO EM AERONAVES DE BOMBARDEIO,True,2021-10-16 09:17:13.045775,2026-08-08
36,1285,12,EQUIPAMENTOS DE TIRO,EQUIPAMENTO RADAR DE CONTROLE DE TIRO (EXCETO DE AERONAVES),True,2021-10-16 09:17:13.045775,2026-08-08
37,1287,12,EQUIPAMENTOS DE TIRO,EQUIPAMENTO SONAR DE CONTROLE DE TIRO,True,2021-10-16 09:17:13.045775,2026-08-08
38,1290,12,EQUIPAMENTOS DE TIRO,EQUIPAMENTOS DIVERSOS DE CONTROLE DE TIRO,True,2021-10-16 09:17:13.045775,2026-08-08
39,1295,12,EQUIPAMENTOS DE TIRO,EQUIPAMENTO DE CONTROLE DE TIRO DIVERSOS,False,2021-10-16 09:17:13.045775,2026-08-08
40,1305,13,MUNIÇÕES E EXPLOSIVOS,MUNIÇÃO DE CALIBRE ATÉ 30 MM,True,2021-10-16 09:17:13.045775,2026-08-08
41,1310,13,MUNIÇÕES E EXPLOSIVOS,MUNIÇÃO DE CALIBRE ACIMA DE 30 MM ATÉ 75 MM,True,2021-10-16 09:17:13.045775,2026-08-08
42,1315,13,MUNIÇÕES E EXPLOSIVOS,MUNIÇÃO DE CALIBRE ACIMA DE 75MM ATÉE 125MM,True,2021-10-16 09:17:13.045775,2026-08-08
43,1320,13,MUNIÇÕES E EXPLOSIVOS,MUNIÇÃO DE CALIBRE ACIMA DE 125 MM,True,2021-10-16 09:17:13.045775,2026-08-08
44,1325,13,MUNIÇÕES E EXPLOSIVOS,BOMBAS,True,2021-10-16 09:17:13.045775,2026-08-08
45,1330,13,MUNIÇÕES E EXPLOSIVOS,GRANADAS,True,2021-10-16 09:17:13.045775,2026-08-08
46,1336,13,MUNIÇÕES E EXPLOSIVOS,OGIVAS E COMPONENTES EXPLOSIVOS DE MISSEIS GUIADOS,True,2021-10-16 09:17:13.045775,2026-08-08
47,1337,13,MUNIÇÕES E EXPLOSIVOS,UNIDADES DE PROPULSAO EXPLOSIVA A COMBUSTIVEL SOLIDO DE VEICULOS ESPACIAIS E MISSEIS GUIADOS E SEUS COMPONENTES,True,2021-10-16 09:17:13.045775,2026-08-08
48,1338,13,MUNIÇÕES E EXPLOSIVOS,UNIDADES DE PROPULSAO INERTES A COMBUSTIVEL SOLIDO DE VEICULOS ESPACIAIS E MISSEIS GUIADOS E SEUS COMPONENTES,True,2021-10-16 09:17:13.045775,2026-08-08
49,1340,13,MUNIÇÕES E EXPLOSIVOS,"ROJÕES, FOGUETES, MUNIÇÃO E COMPONENTES",True,2021-10-16 09:17:13.045775,2026-08-08
50,1345,13,MUNIÇÕES E EXPLOSIVOS,MINAS TERRESTRES,True,2021-10-16 09:17:13.045775,2026-08-08
51,1346,13,MUNIÇÕES E EXPLOSIVOS,MUNIÇÕES DE CONTROLE À DISTÂNCIA,True,2021-10-16 09:17:13.045775,2026-08-08
52,1350,13,MUNIÇÕES E EXPLOSIVOS,COMPONENTES INERTES DE MINA SUBMARINA,True,2021-10-16 09:17:13.045775,2026-08-08
53,1351,13,MUNIÇÕES E EXPLOSIVOS,COMPONENTES EXPLOSIVOS DE MINAS SUBMARINAS,True,2021-10-16 09:17:13.045775,2026-08-08
54,1352,13,MUNIÇÕES E EXPLOSIVOS,DISPOSITIVOS INERTES DE MINAS SUBAQUÁTICAS,True,2021-10-16 09:17:13.045775,2026-08-08
55,1353,13,MUNIÇÕES E EXPLOSIVOS,DISPOSITIVOS EXPLOSIVOS DE MINAS SUBAQUÁTICAS,True,2021-10-16 09:17:13.045775,2026-08-08
56,1355,13,MUNIÇÕES E EXPLOSIVOS,COMPONENTES INERTES DE TORPEDOS,True,2021-10-16 09:17:13.045775,2026-08-08
57,1356,13,MUNIÇÕES E EXPLOSIVOS,COMPONENTES EXPLOSIVOS DE TORPEDOS,True,2021-10-16 09:17:13.045775,2026-08-08
58,1360,13,MUNIÇÕES E EXPLOSIVOS,COMPONENTES INERTES DE CARGAS DE PROFUNDIDADE,True,2021-10-16 09:17:13.045775,2026-08-08
59,1361,13,MUNIÇÕES E EXPLOSIVOS,COMPONENTES EXPLOSIVOS DE BOMBAS DE PROFUNDIDADE,True,2021-10-16 09:17:13.045775,2026-08-08
60,1367,13,MUNIÇÕES E EXPLOSIVOS,CONJUNTOS E EQUIPAMENTOS TÁTICOS,True,2021-10-16 09:17:13.045775,2026-08-08
61,1370,13,MUNIÇÕES E EXPLOSIVOS,PIROTECNICOS,True,2021-10-16 09:17:13.045775,2026-08-08
62,1375,13,MUNIÇÕES E EXPLOSIVOS,MATERIAIS DE DEMOLIÇÃO,True,2021-10-16 09:17:13.045775,2026-08-08
63,1376,13,MUNIÇÕES E EXPLOSIVOS,EXPLOSIVOS A GRANEL,True,2021-10-16 09:17:13.045775,2026-08-08
64,1377,13,MUNIÇÕES E EXPLOSIVOS,DISPOSITIVOS ACIONADOS POR PROPELENTES E CARTUCHOS,True,2021-10-16 09:17:13.045775,2026-08-08
65,1380,13,MUNIÇÕES E EXPLOSIVOS,AGENTES BIOLOGICOS DE USO MILITAR,True,2021-10-16 09:17:13.045775,2026-08-08
66,1385,13,MUNIÇÕES E EXPLOSIVOS,EQUIPAMENTOS E FERRAMENTAS PARA MANUSEIO DE EXPLOSIVO NA SU-PERFÍCIE,True,2021-10-16 09:17:13.045775,2026-08-08
67,1386,13,MUNIÇÕES E EXPLOSIVOS,EQUIPAMENTOS E FERRAMENTAS PARA MANUSEIO DE  EXPLOSIVO  SUB-MERSO,True,2021-10-16 09:17:13.045775,2026-08-08
68,1390,13,MUNIÇÕES E EXPLOSIVOS,ESPOLETAS E ESTOPILHAS,True,2021-10-16 09:17:13.045775,2026-08-08
69,1395,13,MUNIÇÕES E EXPLOSIVOS,COMPONENTES DIVERSOS DE MUNIÇÃO,True,2021-10-16 09:17:13.045775,2026-08-08
70,1398,13,MUNIÇÕES E EXPLOSIVOS,EQUIPAMENTOS ESPECIALIZADOS PARA MANUSEIO E CONSERVACAO DE MUNICAO,True,2021-10-16 09:17:13.045775,2026-08-08
71,1410,14,MÍSSEIS GUIADOS,MÍSSEIS GUIADOS,True,2021-10-16 09:17:13.045775,2026-08-08
72,1420,14,MÍSSEIS GUIADOS,COMPONENTES DE MÍSSEIS GUIADOS,True,2021-10-16 09:17:13.045775,2026-08-08
73,1425,14,MÍSSEIS GUIADOS,SISTEMAS COMPLETOS DE MÍSSEIS GUIADOS,True,2021-10-16 09:17:13.045775,2026-08-08
74,1427,14,MÍSSEIS GUIADOS,SUBSISTEMAS DE MÍSSEIS GUIADOS,True,2021-10-16 09:17:13.045775,2026-08-08
75,1430,14,MÍSSEIS GUIADOS,SISTEMA DE CONTROLE REMOTO DE MÍSSEIS GUIADOS,True,2021-10-16 09:17:13.045775,2026-08-08
76,1440,14,MÍSSEIS GUIADOS,LANÇADORES DE MÍSSEIS GUIADOS,True,2021-10-16 09:17:13.045775,2026-08-08
77,1450,14,MÍSSEIS GUIADOS,EQUIPAMENTO PARA MANUSEIO DE MANUTENÇÃO DE MÍSSEIS GUIADOS,True,2021-10-16 09:17:13.045775,2026-08-08
78,1495,14,MÍSSEIS GUIADOS,MISSEIS GUIADOS DIVERSOS,False,2021-10-16 09:17:13.045775,2026-08-08
79,1505,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,AERONAVES,False,2021-10-16 09:17:13.045775,2026-08-08
80,1510,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,AERONAVES DE ASAS FIXAS,True,2021-10-16 09:17:13.045775,2026-08-08
81,1515,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,HELICES DE AERONAVES E COMPONENTES,False,2021-10-16 09:17:13.045775,2026-08-08
82,1520,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,AERONAVES DE ASA ROTATIVAS,True,2021-10-16 09:17:13.045775,2026-08-08
83,1525,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,COMPONENTES DE SISTEMA DE FREIOS E RODAS,False,2021-10-16 09:17:13.045775,2026-08-08
84,1530,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,"COMPNENTES DE SISTEMA HIDRAULICO, DE VACUO E  DEGELAMENTO",False,2021-10-16 09:17:13.045775,2026-08-08
85,1535,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,"COMPONENTE DE SISTEMAS DE CONDICIONAMENTO  DE  AR,DO AQUECIMENTO E DE PRESSURIZACAO",False,2021-10-16 09:17:13.045775,2026-08-08
86,1540,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,PLANADORES,True,2021-10-16 09:17:13.045775,2026-08-08
87,1550,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,AERONAVES TELEGUIADAS,True,2021-10-16 09:17:13.045775,2026-08-08
88,1560,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,COMPONENTES ESTRUTURAIS DE AERONAVES,True,2021-10-16 09:17:13.045775,2026-08-08
89,1595,15,AERONAVES E SEUS COMPONENTES ESTRUTURAIS,AERONAVES E COMPONENTES ESTRUTURAIS DIVERSOS,False,2021-10-16 09:17:13.045775,2026-08-08
90,1610,16,COMPONENTES E ACESSORIOS DE AERONAVES,HELICES DE AERONAVES,True,2021-10-16 09:17:13.045775,2026-08-08
91,1615,16,COMPONENTES E ACESSORIOS DE AERONAVES,"PÁS DE ROTOR DE HELICOPTERO, MECANISMOS DE TRANSMISSÃO E    COMPONENTES",True,2021-10-16 09:17:13.045775,2026-08-08
92,1620,16,COMPONENTES E ACESSORIOS DE AERONAVES,COMPONENTES DE TREM DE POUSO DE AERONAVE,True,2021-10-16 09:17:13.045775,2026-08-08
93,1630,16,COMPONENTES E ACESSORIOS DE AERONAVES,SISTEMAS DE RODAS E DE FREIO DE AERONAVES,True,2021-10-16 09:17:13.045775,2026-08-08
94,1650,16,COMPONENTES E ACESSORIOS DE AERONAVES,"COMPONENTES DOS SISTEMAS HIDRÁULICOS,DE VÁCUO E DEGELO      DE AERONAVES",True,2021-10-16 09:17:13.045775,2026-08-08
95,1660,16,COMPONENTES E ACESSORIOS DE AERONAVES,"EQUIPAMENTOS DE AR CONCICIONADO, AQUECIMENTO E PRESSURIZAÇÃODE AERONAVES",True,2021-10-16 09:17:13.045775,2026-08-08
96,1670,16,COMPONENTES E ACESSORIOS DE AERONAVES,"PÁRA-QUEDAS,SISTEMAS DE COLETA, LANÇAMENTO E RESGATE AÉREO  E EQUIPAMENTOS DE AMARRAÇÃO DE CARGAS",True,2021-10-16 09:17:13.045775,2026-08-08
97,1680,16,COMPONENTES E ACESSORIOS DE AERONAVES,ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES,True,2021-10-16 09:17:13.045775,2026-08-08
98,1695,16,COMPONENTES E ACESSORIOS DE AERONAVES,COMPONENTES E ACESSORIOS DE AERONAVES DIVERSOS,False,2021-10-16 09:17:13.045775,2026-08-08
99,1705,17,"EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES",EQUIPAMENTOS PARA SERVICOS DE AERODROMOS,False,2021-10-16 09:17:13.045775,2026-08-08
100,1710,17,"EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES",EQUIPAMENTOS PARA POUSO DE AERONAVES,True,2021-10-16 09:17:13.045775,2026-08-08
101,1720,17,"EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES",EQUIPAMENTOS PARA LANÇAMENTO DE AERONAVES,True,2021-10-16 09:17:13.045775,2026-08-08
102,1730,17,"EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES",EQUIPAMENTOS DE SERVICOS EM TERRA DE AERONAVES,True,2021-10-16 09:17:13.045775,2026-08-08
103,1740,17,"EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES",TRATORES E REBOQUES ESPECIALIZADOS PARA AEROPORTOS,True,2021-10-16 09:17:13.045775,2026-08-08
104,1795,17,"EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES","EQUIPAMENTOS PARA LANCAMENTO, POUSO E MANOBRA  DE  AERONAVESDIVERSOS",False,2021-10-16 09:17:13.045775,2026-08-08
105,1805,18,VEICULOS ESPACIAIS (ASTRONAVES),VEICULOS,False,2021-10-16 09:17:13.045775,2026-08-08
106,1810,18,VEICULOS ESPACIAIS (ASTRONAVES),VEÍCULOS ESPACIAIS,True,2021-10-16 09:17:13.045775,2026-08-08
107,1820,18,VEICULOS ESPACIAIS (ASTRONAVES),COMPONENTES DE VEICULOS ESPACIAIS,True,2021-10-16 09:17:13.045775,2026-08-08
108,1830,18,VEICULOS ESPACIAIS (ASTRONAVES),SISTEMAS DE CONTROLE REMOTO DE VEICULOS ESPACIAIS,True,2021-10-16 09:17:13.045775,2026-08-08
109,1840,18,VEICULOS ESPACIAIS (ASTRONAVES),LANCADORES DE VEICULOS ESPACIAIS,True,2021-10-16 09:17:13.045775,2026-08-08
110,1850,18,VEICULOS ESPACIAIS (ASTRONAVES),EQUIPAMENTOS DE SERVICOS E MANUSEIO DE VEICULOS ESPACIAIS,True,2021-10-16 09:17:13.045775,2026-08-08
111,1860,18,VEICULOS ESPACIAIS (ASTRONAVES),EQUIPAMENTOS DE SOBREVIVÊNCIA ESPACIAL,True,2021-10-16 09:17:13.045775,2026-08-08
112,1895,18,VEICULOS ESPACIAIS (ASTRONAVES),VEICULOS ESPACIAIS DIVERSOS,False,2021-10-16 09:17:13.045775,2026-08-08
113,1905,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",NAVIOS DE GUERRA E EMBARCACOES DE DESEMBARQUE,True,2021-10-16 09:17:13.045775,2026-08-08
114,1910,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",NAVIOS PARA TRANSPORTE DE PASSAGEIRO E DE TROPA,True,2021-10-16 09:17:13.045775,2026-08-08
115,1915,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",NAVIOS TANQUES E CARGUEIROS,True,2021-10-16 09:17:13.045775,2026-08-08
116,1920,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",NAVIOS PESQUEIROS,True,2021-10-16 09:17:13.045775,2026-08-08
117,1925,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",NAVIOS DE SERVICOS ESPECIAIS,True,2021-10-16 09:17:13.045775,2026-08-08
118,1930,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",BATELOES E CHATAS PARA CARGAS,True,2021-10-16 09:17:13.045775,2026-08-08
119,1935,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",BATELOES E CHATAS PARA FINS ESPECIAIS,True,2021-10-16 09:17:13.045775,2026-08-08
120,1940,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",EMBARCAÇÕES PEQUENAS,True,2021-10-16 09:17:13.045775,2026-08-08
121,1945,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",PONTÕES E DOCAS FLUTUANTES,True,2021-10-16 09:17:13.045775,2026-08-08
122,1950,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",DIQUES FLUTUANTES,True,2021-10-16 09:17:13.045775,2026-08-08
123,1955,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",DRAGAS,True,2021-10-16 09:17:13.045775,2026-08-08
124,1990,19,"NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES",EMBARCACOES DIVERSAS,True,2021-10-16 09:17:13.045775,2026-08-08
125,2010,20,EQUIPAMENTOS PARA NAVIOS E EMBARCACOES,EQUIPAMENTOS DE PROPULSÃO DE NAVIOS E EMBARCAÇÕES,True,2021-10-16 09:17:13.045775,2026-08-08
126,2020,20,EQUIPAMENTOS PARA NAVIOS E EMBARCACOES,CORDAMES E EQUIPAMENTOS CORRELATOS,True,2021-10-16 09:17:13.045775,2026-08-08
127,2030,20,EQUIPAMENTOS PARA NAVIOS E EMBARCACOES,MAQUINARIA DE CONVES,True,2021-10-16 09:17:13.045775,2026-08-08
128,2040,20,EQUIPAMENTOS PARA NAVIOS E EMBARCACOES,FERRAGENS DE MARINHARIA E ITENS DE CASCO,True,2021-10-16 09:17:13.045775,2026-08-08
129,2050,20,EQUIPAMENTOS PARA NAVIOS E EMBARCACOES,BOIAS,True,2021-10-16 09:17:13.045775,2026-08-08
130,2060,20,EQUIPAMENTOS PARA NAVIOS E EMBARCACOES,EQUIPAMENTO COMERCIAL DE PESCA,True,2021-10-16 09:17:13.045775,2026-08-08
131,2090,20,EQUIPAMENTOS PARA NAVIOS E EMBARCACOES,EQUIPAMENTOS DIVERSOS PARA NAVIOS E MARINHARIA,True,2021-10-16 09:17:13.045775,2026-08-08
132,2210,22,EQUIPAMENTOS FERROVIÁRIOS,LOCOMOTIVAS,True,2021-10-16 09:17:13.045775,2026-08-08
133,2220,22,EQUIPAMENTOS FERROVIÁRIOS,VAGÕES FERROVIÁRIOS,True,2021-10-16 09:17:13.045775,2026-08-08
134,2230,22,EQUIPAMENTOS FERROVIÁRIOS,EQUIPAMENTO DE CONSTRUÇAO E MANUTENÇAO DE LEITO DE FERROVIA,True,2021-10-16 09:17:13.045775,2026-08-08
135,2240,22,EQUIPAMENTOS FERROVIÁRIOS,ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS,True,2021-10-16 09:17:13.045775,2026-08-08
136,2250,22,EQUIPAMENTOS FERROVIÁRIOS,MATERIAIS DE FERROVIA,True,2021-10-16 09:17:13.045775,2026-08-08
137,2305,23,VEíCULOS,VEÍCULOS DE EFEITO-SOLO,True,2021-10-16 09:17:13.045775,2026-08-08
138,2310,23,VEíCULOS,VEÍCULOS MOTORIZADOS DE PASSAGEIROS,True,2021-10-16 09:17:13.045775,2026-08-08
139,2320,23,VEíCULOS,VEÍCULOS SOBRE RODAS,True,2021-10-16 09:17:13.045775,2026-08-08
140,2330,23,VEíCULOS,REBOQUES,True,2021-10-16 09:17:13.045775,2026-08-08
141,2340,23,VEíCULOS,"MOTOCICLETAS, MOTONETAS E BICICLETAS",True,2021-10-16 09:17:13.045775,2026-08-08
142,2350,23,VEíCULOS,VEÍCULOS TÁTICOS SOBRE LAGARTAS,True,2021-10-16 09:17:13.045775,2026-08-08
143,2410,24,TRATORES,TRATORES DE BAIXA VELOCIDADE SOBRE LAGARTA,True,2021-10-16 09:17:13.045775,2026-08-08
144,2420,24,TRATORES,TRATORES SOBRE RODAS,True,2021-10-16 09:17:13.045775,2026-08-08
145,2430,24,TRATORES,TRATORES DE ALTA VELOCIDADE SOBRE LAGARTAS,True,2021-10-16 09:17:13.045775,2026-08-08
146,2510,25,COMPONENTES DE VEÍCULOS,"COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS",True,2021-10-16 09:17:13.045775,2026-08-08
147,2520,25,COMPONENTES DE VEÍCULOS,COMPONENTES DE TRANSMISSÃO DE VEÍCULOS,True,2021-10-16 09:17:13.045775,2026-08-08
148,2530,25,COMPONENTES DE VEÍCULOS,"COMPONENTES DE FREIO, DIREÇÃO, EIXO, RODA E LAGARTA  DE  VEÍCULOS",True,2021-10-16 09:17:13.045775,2026-08-08
149,2540,25,COMPONENTES DE VEÍCULOS,EQUIPAMENTO E ACESSÓRIOS PARA VEÍCULOS,True,2021-10-16 09:17:13.045775,2026-08-08
150,2541,25,COMPONENTES DE VEÍCULOS,ACESSÓRIOS VEICULARES ESPECÍFICOS PARA SISTEMAS DE ARMAS,True,2021-10-16 09:17:13.045775,2026-08-08
151,2590,25,COMPONENTES DE VEÍCULOS,COMPONENTES DIVERSOS PARA VEÍCULOS,True,2021-10-16 09:17:13.045775,2026-08-08
152,2610,26,PNEUS E CÂMARAS DE AR,"PNEUS E CÂMARAS DE AR, EXCETO OS DE AERONAVES",True,2021-10-16 09:17:13.045775,2026-08-08
153,2620,26,PNEUS E CÂMARAS DE AR,PNEUS E CÂMARAS DE AR DE AERONAVES,True,2021-10-16 09:17:13.045775,2026-08-08
154,2630,26,PNEUS E CÂMARAS DE AR,PNEUS MACIÇO E DE BAIXA PRESSÃO,True,2021-10-16 09:17:13.045775,2026-08-08
155,2640,26,PNEUS E CÂMARAS DE AR,MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR,True,2021-10-16 09:17:13.045775,2026-08-08
156,2805,28,"MOTORES, TURBINAS E SEUS COMPONENTES","MOTORES A GASOLINA E COMPONENTES, EXCETO  OS DE AERONAVES",True,2021-10-16 09:17:13.045775,2026-08-08
157,2810,28,"MOTORES, TURBINAS E SEUS COMPONENTES",MOTORES A GASOLINA PARA AERONAVES E COMPONENTES,True,2021-10-16 09:17:13.045775,2026-08-08
158,2815,28,"MOTORES, TURBINAS E SEUS COMPONENTES",MOTORES DIESEL E COMPONENTES,True,2021-10-16 09:17:13.045775,2026-08-08
159,2820,28,"MOTORES, TURBINAS E SEUS COMPONENTES",MÁQUINAS ALTERNATIVAS A VAPOR E COMPONENTES,True,2021-10-16 09:17:13.045775,2026-08-08
160,2825,28,"MOTORES, TURBINAS E SEUS COMPONENTES",TURBINAS A VAPOR E COMPONENTES,True,2021-10-16 09:17:13.045775,2026-08-08
161,2830,28,"MOTORES, TURBINAS E SEUS COMPONENTES",TURBINAS E RODAS D'ÁGUA E COMPONENTES,True,2021-10-16 09:17:13.045775,2026-08-08
